id_player,preferred_foot,weak_foot_ability,skill_moves,overall_rating
231747,1,4,5,91
231866,1,4,3,91
241667,1,5,4,91
239085,2,3,3,91
252371,1,4,4,90
227203,2,5,5,90
238794,1,4,5,90
227102,1,5,5,90
192985,1,5,4,90
227125,1,4,4,90
202126,1,4,3,90
222665,2,2,5,89
230621,1,3,1,89
264012,1,5,4,89
212831,1,3,1,89
192119,2,3,1,89
227310,1,4,4,89
231478,1,4,4,89
236479,2,3,2,89
203376,1,3,2,89
192448,1,4,1,89
209331,2,3,4,89
237692,2,3,4,88
246272,1,4,4,88
158023,2,4,4,88
226893,1,5,5,88
227361,1,4,4,88
194765,2,3,4,88
239818,1,4,2,88
188545,1,4,4,88
237289,1,4,4,88
239053,1,4,3,88
210257,2,3,1,88
218667,2,3,4,88
245802,1,4,5,88
227316,1,3,2,88
227323,2,3,4,88
200389,1,3,1,88
227190,1,3,2,88
205452,1,3,2,88
245956,2,3,1,88
256630,1,4,4,88
235073,1,3,1,88
243715,1,3,2,87
232293,1,4,3,87
256790,1,4,5,87
246669,2,4,3,87
226302,2,5,3,87
211110,2,3,5,87
232656,2,3,4,87
233662,2,4,5,87
190871,1,5,5,87
234378,1,3,3,87
232073,1,5,4,87
228702,1,3,4,87
215698,1,4,1,87
212198,1,3,4,87
232075,2,4,4,87
200104,1,5,4,87
207865,1,3,3,87
237383,2,3,2,87
186942,1,4,4,87
241846,1,3,3,87
202811,1,4,1,87
224232,1,4,3,87
177683,1,4,1,87
20801,1,4,5,86
232580,2,2,2,86
199503,2,3,3,86
246219,1,4,3,86
243812,1,4,4,86
210514,1,4,4,86
241721,1,4,5,86
227013,2,5,4,86
210035,2,2,4,86
177003,1,4,4,86
265674,2,3,4,86
239837,1,3,3,86
257008,2,3,4,86
204963,1,3,3,86
247504,1,3,1,86
231443,2,5,5,86
265249,1,4,5,86
248717,1,3,3,86
231281,1,4,3,86
251854,1,4,4,86
237197,1,3,3,86
213331,1,3,2,86
165153,1,4,4,86
239580,1,2,2,86
212622,1,4,3,86
257001,1,4,4,86
230869,1,3,1,86
231432,1,3,4,86
244302,1,3,3,86
167495,1,4,1,86
240714,1,4,4,86
245872,1,4,3,86
208128,1,5,4,86
247635,1,5,5,85
231521,1,4,3,84
226851,1,3,3,84
264939,1,4,4,84
246774,1,3,4,84
227127,1,4,1,84
266928,1,4,4,84
232488,1,2,3,84
204923,1,4,3,84
243404,1,3,3,84
263011,1,3,5,84
200145,1,3,2,84
240091,1,4,1,84
226890,2,4,5,84
264886,1,3,2,84
246430,2,3,3,84
188377,1,2,3,84
245879,2,4,4,84
231936,1,4,2,84
265242,1,4,1,84
224334,2,3,3,83
246630,1,4,4,83
212242,1,4,2,83
240717,1,2,4,83
226754,2,3,3,83
210935,2,3,4,83
264968,1,4,3,83
248822,1,4,4,83
248243,2,3,4,83
262457,2,3,4,83
240030,1,3,3,83
208418,1,4,4,83
227119,2,2,3,83
213661,1,3,2,83
268942,1,3,1,83
245882,1,3,4,83
198176,1,3,2,83
183898,2,2,5,83
241852,2,3,4,83
265898,1,3,4,83
265536,2,3,3,83
235410,2,3,3,83
226998,2,3,2,83
216547,1,3,4,83
267201,1,4,4,83
261773,1,3,4,83
242516,1,4,4,83
265275,2,3,4,83
247513,1,3,2,83
216460,1,3,2,83
178509,2,3,3,83
209658,1,4,3,83
251517,2,4,3,83
247788,1,3,4,83
235790,2,4,4,83
220814,2,2,2,83
201399,1,4,3,83
237086,1,3,2,83
