id_player,diff_acceleration,diff_agility,diff_jumping,diff_stamina,diff_strength,diff_aggression,diff_balance,diff_ballControl,diff_composure,diff_crossing,diff_curve,diff_def,diff_defensiveAwareness,diff_dri,diff_dribbling,diff_finishing,diff_freeKickAccuracy,diff_gkDiving,diff_gkHandling,diff_gkKicking,diff_gkPositioning,diff_gkReflexes,diff_headingAccuracy,diff_interceptions,diff_longPassing,diff_longShots,diff_pac,diff_pas,diff_penalties,diff_phy,diff_positioning,diff_reactions,diff_sho,diff_shortPassing,diff_shotPower,diff_slidingTackle,diff_sprintSpeed,diff_standingTackle,diff_vision,diff_volleys
231747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231866,11,1,3,2,0,2,3,2,9,13,21,2,4,4,5,10,3,0,0,0,0,0,0,0,1,7,8,6,0,1,1,4,7,4,1,4,4,0,2,12
241667,0,0,0,2,0,4,0,0,0,7,2,2,5,0,1,0,10,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,2,0,10,0,0,0,0,8
239085,-2,1,-1,0,0,1,-3,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,-3,-1,4,6,0,0,0,-1,0,0,0,0,0,0,0
252371,4,1,5,0,2,0,0,4,6,0,0,0,0,3,3,13,19,0,0,0,0,0,6,0,3,12,4,4,17,1,12,5,12,2,7,0,5,0,6,6
227203,0,0,0,0,0,0,0,-2,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-2,0,0,-2,-1,-3,0,0,0,0,0,0
238794,0,0,0,0,1,0,0,0,4,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,6,1,0,0,2,3,5,0,0,0,4,1
227102,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0
192985,-5,1,-1,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-2,-5,0,0,0,0,0,-1,0,0,0,-5,0,0,0
227125,0,0,-6,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0
202126,-3,0,0,-8,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,-4,0,1,-1,0,1,0,-1,1,0,-5,0,-1,0
222665,-2,0,0,7,0,0,1,2,1,1,1,6,1,2,3,1,0,0,0,0,0,0,0,3,2,1,-2,1,5,2,1,7,1,1,0,3,-2,17,2,0
230621,0,-7,2,7,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,-6,4,1,0,0,0,0,0,-6,0,4,0,0,2,0,-4,0,0,0,0,0
